id,age,gender,race,ethnicity
300,63,female,white,not hispanic or latino
301,75,male,white,not hispanic or latino
302,72,female,white,not hispanic or latino
303,62,male,white,not hispanic or latino
305,75,female,white,not hispanic or latino
306,61,female,white,not hispanic or latino
307,63,female,white,not hispanic or latino
308,72,male,white,not hispanic or latino
309,69,female,white,not hispanic or latino
310,71,female,white,not hispanic or latino
311,69,female,white,not hispanic or latino
312,60,female,white,not hispanic or latino
313,64,male,white,not hispanic or latino
314,75,female,white,not hispanic or latino
315,70,male,white,not hispanic or latino
316,75,female,white,not hispanic or latino
317,71,male,white,not hispanic or latino
318,64,female,white,not hispanic or latino
319,66,female,white,not hispanic or latino
320,74,female,white,not hispanic or latino
321,72,male,white,not hispanic or latino
322,65,male,white,not hispanic or latino
323,,,,
324,67,female,white,not hispanic or latino
325,74,male,white,not hispanic or latino
326,73,female,white,not hispanic or latino
327,65,female,white,not hispanic or latino
328,75,female,white,not hispanic or latino
329,70,male,white,not hispanic or latino
367,79,male,white,not hispanic or latino
368,66,female,white,not hispanic or latino
369,72,female,white,not hispanic or latino
370,68,male,white,not hispanic or latino
330,78,male,white,not hispanic or latino
331,62,female,white,not hispanic or latino
332,72,female,white,not hispanic or latino
333,66,female,black or african american,not hispanic or latino
334,73,female,white,not hispanic or latino
336,68,female,white,not hispanic or latino
337,80,male,white,not hispanic or latino
338,68,female,white,not hispanic or latino
339,68,female,white,not hispanic or latino
340,72,female,white,not hispanic or latino
341,75,female,white,not hispanic or latino
342,65,female,white,not hispanic or latino
343,75,female,white,not hispanic or latino
344,70,female,white,not hispanic or latino
345,72,male,white,not hispanic or latino
346,72,female,white,not hispanic or latino
347,75,female,black or african american,not hispanic or latino
348,65,female,black or african american,not hispanic or latino
349,71,female,white,not hispanic or latino
350,65,female,white,not hispanic or latino
351,76,male,not provided,not hispanic or latino
352,60,female,white,not hispanic or latino
353,73,male,white,not hispanic or latino
354,65,female,white,not hispanic or latino
355,70,female,white,not hispanic or latino
376,66,male,white,not hispanic or latino
377,74,male,white,not hispanic or latino
